state_abbrev,state,state_fips,prison_deaths,prison_cases,prison_pop
AL,ALABAMA,1,28,711,28266
AK,ALASKA,2,0,240,4475
AZ,ARIZONA,4,28,2648,42441
AR,ARKANSAS,5,48,7820,17759
CA,CALIFORNIA,6,80,16057,125507
CO,COLORADO,8,4,1718,19714
CT,CONNECTICUT,9,7,1674,12293
DE,DELAWARE,10,11,579,5692
FL,FLORIDA,12,180,16631,96009
GA,GEORGIA,13,78,2063,55556
HI,HAWAII,15,0,803,5179
ID,IDAHO,16,3,2169,9437
IL,ILLINOIS,17,31,2598,38259
IN,INDIANA,18,28,1597,27268
IA,IOWA,19,4,1394,9282
KS,KANSAS,20,9,3653,10177
KY,KENTUCKY,21,13,1250,23436
LA,LOUISIANA,22,30,2413,31609
ME,MAINE,23,,79,2205
MD,MARYLAND,24,11,1026,18686
MA,MASSACHUSETTS,25,8,557,8205
MI,MICHIGAN,26,74,7284,38053
MN,MINNESOTA,27,2,1902,9982
MS,MISSISSIPPI,28,1,809,19469
MO,MISSOURI,29,10,3793,26044
MT,MONTANA,30,0,763,3811
NE,NEBRASKA,31,2,283,5651
NV,NEVADA,32,0,42,12942
NH,NEW HAMPSHIRE,33,0,1,2622
NJ,NEW JERSEY,34,52,3052,18613
NM,NEW MEXICO,35,4,808,6723
NY,NEW YORK,36,18,1590,44284
NC,NORTH CAROLINA,37,20,4330,34510
ND,NORTH DAKOTA,38,0,137,1794
OH,OHIO,39,109,6959,49762
OK,OKLAHOMA,40,26,4571,25712
OR,OREGON,41,16,1274,15755
PA,PENNSYLVANIA,42,16,841,45875
RI,RHODE ISLAND,44,0,60,2740
SC,SOUTH CAROLINA,45,31,2356,19608
SD,SOUTH DAKOTA,46,0,1791,3804
TN,TENNESSEE,47,27,5705,26539
TX,TEXAS,48,166,23429,158820
UT,UTAH,49,0,642,6731
VT,VERMONT,50,0,240,1608
VA,VIRGINIA,51,33,3971,36091
WA,WASHINGTON,53,2,531,19160
WV,WEST VIRGINIA,54,2,384,6800
WI,WISCONSIN,55,10,4749,23956
WY,WYOMING,56,,125,2479
