state_abbrev,tot_cases,tot_death
AK,17597,84
AL,200714,3049
AR,119230,2056
AZ,254764,6109
CA,951094,17866
CO,124469,2376
CT,78125,4671
DE,26258,716
FL,821526,17014
GA,370106,8156
HI,15584,218
IA,144714,1818
ID,70909,679
IL,465540,10397
IN,200823,4547
KS,97633,1166
KY,117505,1544
LA,191715,6016
MA,172632,10088
MD,152915,4201
ME,7602,151
MI,222509,7880
MN,170307,2645
MO,205066,3150
MS,125885,3433
MT,37947,419
NC,288569,4582
ND,53204,628
NE,80693,701
NH,12012,488
NJ,249380,16416
NM,52394,1088
NV,106922,1845
NY,525738,33386
OH,240178,5494
OK,138202,1436
OR,48608,716
PA,223950,8975
RI,36380,1224
SC,182872,4005
SD,52639,510
TN,273144,3541
TX,942539,18589
UT,127279,649
VA,190874,3704
VT,2326,58
WA,114241,2439
WI,269982,2333
WV,27087,487
WY,16405,105
