state_abbrev,state_pop2019
AK,578015
AL,4842119
AR,2964869
AZ,6845397
CA,34055815
CO,5615365
CT,3440030
DC,684592
DE,947729
FE,310900908
FL,21074152
GA,10265806
HI,806303
IA,3094810
ID,1754333
IL,12062035
IN,6632343
KS,2843560
KY,4439698
LA,4578830
MA,6494124
MD,5729484
ME,1326613
MI,9727650
MN,5362793
MO,6045126
MS,2949655
MT,1001647
NC,10181508
ND,715768
NE,1890257
NH,1326616
NJ,8118280
NM,1909393
NV,2843431
NY,17989532
OH,11548334
OK,3596803
OR,4014581
PA,12487451
RI,1035453
SC,5092565
SD,804718
TN,6750130
TX,27755661
UT,3093032
VA,8063422
VT,614470
WA,6889285
WI,5659767
WV,1792114
WY,565444
